brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
25,20240615_133648,20240615_133716,1,0,20240615_133726
26,20240615_133726,20240615_133740,1,0,20240615_133751
27,20240615_133751,20240615_133804,1,0,20240615_133814
28,20240615_133814,20240615_133829,1,0,20240615_133839
29,20240615_133839,20240615_133900,2,0,20240615_133911
30,20240615_133911,20240615_133941,1,1,20240615_133952
31,20240615_133952,20240615_134013,2,0,20240615_134024
32,20240615_134024,20240615_134044,2,0,20240615_134055
33,20240615_134055,20240615_134126,1,1,20240615_134137
34,20240615_134137,20240615_134151,1,0,20240615_134201
35,20240615_134201,20240615_134222,2,0,20240615_134233
